date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,481.0,481.0,474.45,475.9, 476.40,478.2,477.26,1316812,6284.56,18642, 392838, 29.83
02-Jan-2020,478.85,479.9,472.3,473.5, 472.95,475.9,475.63,1406381,6689.22,23644, 508693, 36.17
03-Jan-2020,475.8,475.8,467.25,469.95, 470.65,473.5,471.24,2252752,10615.92,44368, 524988, 23.30
06-Jan-2020,469.8,469.95,461.2,466.75, 464.00,469.95,465.72,1501855,6994.42,34773, 434232, 28.91
07-Jan-2020,466.0,470.0,463.65,468.6, 468.35,466.75,466.44,2365554,11033.98,32146, 1147376, 48.50
08-Jan-2020,467.8,470.1,461.6,464.75, 463.60,468.6,465.83,1507276,7021.37,22866, 657806, 43.64
09-Jan-2020,467.5,473.3,467.5,470.1, 469.85,464.75,470.64,1700600,8003.67,28983, 691074, 40.64
10-Jan-2020,470.1,477.0,469.75,473.5, 472.95,470.1,474.55,1213600,5759.12,21827, 241162, 19.87
13-Jan-2020,474.5,482.45,474.5,477.65, 477.50,473.5,478.12,1229969,5880.67,16312, 217423, 17.68
14-Jan-2020,480.6,485.2,479.2,484.25, 485.20,477.65,482.72,2160301,10428.24,71746, 900469, 41.68
15-Jan-2020,484.0,486.85,479.55,484.0, 484.00,484.25,482.78,1413668,6824.89,28871, 742719, 52.54
16-Jan-2020,484.0,487.45,479.0,480.25, 480.00,484.0,482.33,1694372,8172.53,36394, 899446, 53.08
17-Jan-2020,480.0,482.95,476.55,480.3, 479.95,480.25,480.47,2039387,9798.64,33972, 1247644, 61.18
20-Jan-2020,480.45,483.15,476.65,480.15, 479.85,480.3,480.12,1206931,5794.7,34474, 601424, 49.83
21-Jan-2020,478.95,479.55,472.2,473.4, 473.00,480.15,475.89,1448808,6894.66,27223, 713960, 49.28
22-Jan-2020,474.5,480.3,470.25,471.6, 470.80,473.4,476.62,2380518,11346.04,48713, 1165966, 48.98
23-Jan-2020,464.5,475.85,459.35,465.15, 465.00,471.6,469.89,5783749,27177.43,76343, 2718350, 47.00
24-Jan-2020,465.0,467.75,456.85,458.85,458.75,465.15,462.1,2713370,12538.59,69823, 1383132, 50.97
27-Jan-2020,457.5,466.5,454.2,464.45, 464.20,458.85,463.11,5849003,27087.43,69918, 3406154, 58.23
28-Jan-2020,465.0,468.0,458.95,464.7, 464.45,464.45,464.62,3592413,16691.13,101456, 1921394, 53.48
29-Jan-2020,464.7,467.4,460.35,461.55, 461.05,464.7,463.85,1737293,8058.35,56487, 822428, 47.34
30-Jan-2020,461.0,461.0,446.35,451.0, 451.00,461.55,452.71,2766881,12525.87,71068, 1213142, 43.85
31-Jan-2020,453.95,453.95,442.1,446.9, 447.90,451.0,448.23,2184609,9792.15,92843, 1050726, 48.10
03-Feb-2020,444.0,450.65,439.4,444.55, 443.80,444.2,444.09,1690394,7506.95,48011, 826982, 48.92
04-Feb-2020,446.7,452.45,444.2,448.45, 447.70,444.55,449.37,2030860,9125.99,43211, 1023748, 50.41
05-Feb-2020,449.55,459.15,437.5,447.55, 453.75,448.45,447.16,3637403,16265.18,60500, 1197984, 32.94
06-Feb-2020,462.5,464.35,435.35,439.65, 438.55,447.55,446.16,7118843,31761.18,125961, 2716233, 38.16
07-Feb-2020,440.0,445.9,437.3,443.2, 442.40,439.65,442.29,6386193,28245.49,65124, 2873717, 45.00
10-Feb-2020,444.2,451.0,442.1,444.75, 445.00,443.2,446.0,3557480,15866.27,34321, 961193, 27.02
11-Feb-2020,447.1,452.0,443.35,450.6, 451.00,444.75,448.73,1889638,8479.44,37914, 554470, 29.34
12-Feb-2020,454.95,454.95,445.0,446.8, 446.65,450.6,447.92,1683136,7539.17,39748, 524869, 31.18
13-Feb-2020,446.8,448.9,440.5,443.4, 444.00,446.8,444.3,2041017,9068.24,59758, 1102922, 54.04
14-Feb-2020,444.0,448.9,441.5,447.1, 445.10,443.4,445.48,1814780,8084.48,42411, 719772, 39.66
17-Feb-2020,444.5,445.75,430.1,431.9, 433.25,447.1,433.76,4581786,19873.96,80822, 1453094, 31.71
18-Feb-2020,433.0,437.65,428.1,436.0, 437.00,431.9,433.24,2453801,10630.78,33961, 966184, 39.37
19-Feb-2020,437.8,449.2,437.4,447.5, 447.25,436.0,445.07,2359566,10501.62,40302, 905590, 38.38
20-Feb-2020,448.0,448.8,434.5,435.75, 436.70,447.5,439.95,3048500,13411.89,56814, 1340091, 43.96
24-Feb-2020,436.0,436.7,426.55,430.15, 428.00,435.75,430.1,2569563,11051.76,70928, 1339515, 52.13
25-Feb-2020,430.2,431.2,420.0,425.8, 425.20,430.15,425.12,2438218,10365.28,35505, 1062071, 43.56
26-Feb-2020,406.0,425.0,405.8,422.2, 422.00,425.8,419.24,8068909,33827.87,107455, 2817881, 34.92
27-Feb-2020,411.1,424.0,409.0,421.2, 421.00,422.2,415.79,5109022,21242.67,89888, 1730723, 33.88
28-Feb-2020,413.0,416.45,398.05,402.1, 405.05,421.2,407.59,4200936,17122.63,86522, 1963818, 46.75
02-Mar-2020,407.0,411.25,394.65,401.95, 405.00,402.1,406.44,3460583,14065.23,82668, 1902720, 54.98
03-Mar-2020,402.0,429.2,402.0,425.3, 424.50,401.95,420.06,5476676,23005.15,93117, 1464448, 26.74
04-Mar-2020,425.6,449.8,420.0,447.65, 445.85,425.3,439.56,9297945,40869.87,123174, 2612536, 28.10
05-Mar-2020,447.85,472.0,437.45,440.6, 440.00,447.65,449.13,9637431,43284.15,111026, 3194447, 33.15
06-Mar-2020,425.0,438.15,423.05,434.4, 431.20,440.6,432.51,2916146,12612.69,50806, 958967, 32.88
09-Mar-2020,425.0,432.65,423.5,426.15, 425.00,434.4,427.71,2986596,12774.07,44117, 1133461, 37.95
11-Mar-2020,425.0,426.15,410.2,417.1, 418.10,426.15,416.46,5314548,22132.76,126683, 2598021, 48.89
12-Mar-2020,412.5,412.5,390.75,394.75, 395.25,417.1,396.7,5636464,22359.98,94842, 2742733, 48.66
13-Mar-2020,388.0,434.95,355.3,425.55, 425.00,394.75,409.52,6096909,24967.95,150719, 2914082, 47.80
16-Mar-2020,416.0,423.9,392.75,396.4, 396.00,425.55,407.52,5394615,21984.21,89810, 2630380, 48.76
17-Mar-2020,397.0,422.0,390.75,401.75, 405.00,396.4,410.29,2989674,12266.42,83402, 900293, 30.11
18-Mar-2020,411.8,411.8,381.7,386.0, 390.35,401.75,398.21,4200582,16727.27,114086, 1879671, 44.75
19-Mar-2020,374.8,390.75,362.9,374.7, 374.75,386.0,376.81,2926155,11026.02,85136, 949190, 32.44
20-Mar-2020,379.8,399.8,372.45,392.8, 385.20,374.7,391.32,4718358,18463.86,138449, 2141257, 45.38
23-Mar-2020,370.0,406.9,370.0,375.25, 380.00,392.8,385.56,5507004,21232.88,142970, 2179840, 39.58
24-Mar-2020,380.0,409.75,372.55,377.45, 379.50,375.25,391.39,6652237,26036.01,167567, 2632218, 39.57
25-Mar-2020,378.0,394.9,374.0,376.45, 375.20,377.45,382.1,6419109,24527.57,177940, 3135740, 48.85
26-Mar-2020,383.0,394.7,380.5,386.15, 390.00,376.45,386.9,4291225,16602.61,96157, 1353543, 31.54
27-Mar-2020,393.0,411.0,391.95,407.65, 409.50,386.15,403.12,6471292,26086.94,134530, 1883424, 29.10
30-Mar-2020,413.8,438.7,407.65,431.75, 435.00,407.65,421.81,9021027,38051.2,235135, 2104985, 23.33
31-Mar-2020,446.0,446.6,420.0,422.85,422.35,431.75,432.6,9434756,40815.2,145428, 4095059, 43.40
01-Apr-2020,424.9,430.9,410.4,413.75,413.55,422.85,419.85,6329718,26575.44,114574, 2126931, 33.60
03-Apr-2020,425.0,454.7,416.25,449.2, 448.00,413.75,442.98,17906777,79323.4,276736, 5394566, 30.13
07-Apr-2020,479.0,513.4,452.0,492.25, 492.00,449.2,487.21,20843854,101553.36,340593, 4168507, 20.00
08-Apr-2020,496.95,530.0,490.0,512.75, 514.95,492.25,516.98,19456194,100585.32,295878, 3249484, 16.70
09-Apr-2020,564.0,610.0,564.0,579.6, 580.00,512.75,582.73,27207928,158549.76,389706, 5513520, 20.26
13-Apr-2020,605.0,605.0,583.0,592.85, 593.20,579.6,591.93,15483866,91654.4,245354,3700736,25.9
15-Apr-2020,604.45,614.0,578.6,592.35, 595.85,592.85,601.45,16213849,97518.36,315659, 4086606, 25.20
16-Apr-2020,590.0,612.8,582.0,600.45, 601.95,592.35,599.2,12716392,76196.92,203613, 3328738, 26.18
17-Apr-2020,615.0,615.0,595.0,598.0, 596.00,600.45,602.8,8304296,50057.93,155669, 1765823, 21.26
20-Apr-2020,598.0,599.4,580.0,585.4, 584.60,598.0,587.49,5856240,34405.09,120517, 1353235, 23.11
21-Apr-2020,578.0,609.8,570.0,592.1,587.85,585.4,597.51,14471886,86471.57,234920, 2536423, 17.53
22-Apr-2020,594.9,599.75,585.0,587.2,589.0,592.1,592.25,6182389,36615.48,105276, 971012, 15.71
23-Apr-2020,590.0,603.9,579.05,586.7,589.0,587.2,592.87,6277909,37219.88,120788, 936868, 14.92
24-Apr-2020,586.4,606.0,583.6,599.3,595.55,586.7,598.9,11127892,66645.25,185533, 2594106, 23.31
27-Apr-2020,600.0,632.65,600.0,608.7, 610.00,599.3,617.79,14089884,87046.17,210013, 2239784, 15.90
28-Apr-2020,616.8,621.25,593.25,598.6, 600.50,608.7,601.05,8193432,49246.79,136856, 1437585, 17.55
29-Apr-2020,605.0,607.9,590.1,596.25,595.4,598.6,598.23,6767185,40483.44,111221, 1014761, 15.00
30-Apr-2020,607.9,611.45,586.1,589.6,590.0,596.25,596.45,9100084,54277.79,162055, 2084882, 22.91
04-May-2020,589.0,616.95,580.6,611.85, 611.50,589.6,608.16,16816196,102268.96,300922, 2888660, 17.18
05-May-2020,623.05,623.05,595.0,596.9, 597.40,611.85,607.46,9257197,56233.34,141932, 1515597, 16.37
06-May-2020,597.5,606.0,590.0,591.75, 591.45,596.9,595.56,6979140,41564.87,132415, 1537317, 22.03
07-May-2020,598.0,601.8,587.5,589.55, 591.00,591.75,594.92,4620871,27490.63,99690, 1005053, 21.75
08-May-2020,598.0,601.2,589.5,591.9, 592.55,589.55,593.86,5051381,29998.19,90641, 1333120, 26.39
11-May-2020,600.95,600.95,583.45,586.05, 587.75,591.9,590.66,5853898,34576.65,126091, 976160, 16.68
12-May-2020,587.0,593.8,566.2,570.15, 570.50,586.05,575.39,8868988,51030.89,176690, 2929411, 33.03
13-May-2020,600.0,605.0,568.9,570.2,571.5,570.15,576.12,10438684,60139.21,174508, 2512243, 24.07
14-May-2020,571.0,577.9,566.1,569.75,570.0,570.2,571.23,8546052,48817.74,159643, 2325110, 27.21
15-May-2020,572.0,585.0,565.6,570.3,566.8,569.75,573.77,14388640,82558.22,184285, 2105224, 14.63
18-May-2020,570.6,605.0,570.5,600.45, 601.75,570.3,590.8,22898149,135283.25,365585, 3994819, 17.45
19-May-2020,600.0,608.8,590.2,594.95,593.55,600.45,599.39,10952723,65649.09,156026, 1201031, 10.97
20-May-2020,597.0,624.35,595.4,620.65, 621.00,594.95,612.16,13441070,82281.27,194557, 2440228, 18.16
21-May-2020,620.65,626.85,612.3,616.6,617.0,620.65,619.17,7916847,49019.08,115197, 1469214, 18.56
22-May-2020,616.7,641.85,610.1,639.35,637.0,616.6,627.89,10875625,68287.16,147573, 2106119, 19.37
26-May-2020,640.0,646.9,624.05,627.7, 628.80,639.35,635.07,8859499,56263.61,122726, 2046880, 23.10
27-May-2020,630.0,637.8,625.8,633.05,634.0,627.7,632.19,7710110,48742.85,121875, 2072963, 26.89
28-May-2020,634.0,637.65,626.05,628.35,629.75,633.05,631.4,5488725,34655.86,86659, 1662382, 30.29
29-May-2020,633.0,650.95,631.0,648.15, 648.05,628.35,644.84,10580213,68225.05,148409, 2404142, 22.72
01-Jun-2020,649.0,652.6,634.55,642.5, 640.60,648.15,642.08,7439126,47765.16,165405, 2094700, 28.16
02-Jun-2020,644.9,658.65,636.0,637.6,640.0,642.5,646.58,6883613,44508.2,106666, 1557931, 22.63
03-Jun-2020,646.85,649.5,635.3,641.2,642.35,637.6,643.55,5044705,32465.27,99708, 1272636, 25.23
04-Jun-2020,643.0,664.8,642.5,660.55,663.25,641.2,655.3,10452588,68495.87,185798, 2704132, 25.87
05-Jun-2020,665.0,669.75,649.0,650.9, 654.45,660.55,657.7,6481383,42627.76,98170, 1811023, 27.94
08-Jun-2020,656.7,657.8,633.05,635.1, 636.10,650.9,640.17,6263354,40096.25,123250, 2104742, 33.60
09-Jun-2020,638.9,654.3,637.05,640.05, 639.70,635.1,646.1,8968473,57944.94,133946, 2215937, 24.71
10-Jun-2020,646.8,650.75,639.8,642.95, 645.65,640.05,645.87,5426109,35045.39,84838, 1188508, 21.90
11-Jun-2020,645.65,646.95,632.8,635.0, 635.95,642.95,640.5,3172467,20319.59,56954, 564890, 17.81
12-Jun-2020,616.3,645.0,616.3,643.6, 643.10,635.0,634.61,5579264,35406.43,90026, 1595189, 28.59
15-Jun-2020,643.0,653.5,637.0,643.65,642.5,643.6,645.52,4520269,29179.05,67575, 891290, 19.72
16-Jun-2020,644.5,650.0,632.45,637.8, 640.00,643.65,642.35,2927072,18801.93,46067, 588115, 20.09
17-Jun-2020,640.0,643.8,635.0,640.35,641.0,637.8,639.18,2648049,16925.8,46713, 627434, 23.69
18-Jun-2020,641.65,644.8,636.4,642.05,641.6,640.35,641.02,2161531,13855.74,44114, 622319, 28.79
19-Jun-2020,648.85,648.85,631.5,636.2, 645.00,642.05,639.78,4476030,28636.76,75006, 1493027, 33.36
22-Jun-2020,691.0,692.5,651.65,655.95, 656.50,636.2,667.99,29313468,195810.44,448337, 6706686, 22.88
23-Jun-2020,674.0,674.0,655.4,659.8, 660.90,655.95,661.64,8287942,54836.1,132417, 1703891, 20.56
24-Jun-2020,660.0,662.25,628.3,631.2,633.1,659.8,643.69,6955964,44775.15,131675, 2297722, 33.03
25-Jun-2020,632.0,642.0,629.15,634.9, 637.95,631.2,634.51,5816412,36905.47,109040, 1620625, 27.86
26-Jun-2020,639.0,643.65,631.6,634.9, 635.00,634.9,636.33,3847867,24485.17,72417, 1318898, 34.28
29-Jun-2020,637.0,648.0,635.4,644.9, 643.95,634.9,643.4,6772345,43573.04,113451, 1842884, 27.21
30-Jun-2020,647.95,649.9,638.0,640.25, 640.70,644.9,643.37,4319890,27792.8,73014, 1552880, 35.95
01-Jul-2020,642.6,642.6,621.05,627.1, 628.20,640.25,628.93,4809654,30249.51,89059, 1345976, 27.98
02-Jul-2020,630.0,654.45,626.0,646.2, 650.95,627.1,637.67,6169883,39343.41,89193, 1530248, 24.80
03-Jul-2020,652.95,652.95,635.5,638.8, 638.50,646.2,641.24,5380124,34499.69,80858, 1084471, 20.16
06-Jul-2020,640.0,644.25,629.2,634.6, 634.95,638.8,635.28,5604898,35606.88,97822, 1807532, 32.25
07-Jul-2020,637.95,642.6,635.2,636.55, 636.60,634.6,638.75,3781547,24154.7,82946, 1421771, 37.60
08-Jul-2020,643.45,648.0,632.5,634.4,634.0,636.55,639.46,6953560,44465.45,135866, 2621778, 37.70
09-Jul-2020,643.95,643.95,636.25,639.05, 639.00,634.4,639.31,4354463,27838.67,77246, 872390, 20.03
10-Jul-2020,640.0,647.0,636.7,638.9,639.0,639.05,642.55,4119833,26472.18,67871, 1039489, 25.23
13-Jul-2020,641.0,646.0,636.6,638.35, 638.85,638.9,640.67,3450074,22103.51,67930, 1132908, 32.84
14-Jul-2020,639.95,644.0,631.25,632.3,632.55,638.35,639.05,5432821,34718.47,109157, 1852522, 34.10
15-Jul-2020,634.4,643.5,633.1,638.2,639.4,632.3,638.32,4253994,27154.2,68888, 1496691, 35.18
16-Jul-2020,639.95,677.4,635.9,674.5, 673.60,638.2,660.33,16098367,106302.73,215847, 4171149, 25.91
17-Jul-2020,674.5,696.65,669.25,689.1, 687.70,674.5,686.02,15244105,104577.29,184165, 4345863, 28.51
20-Jul-2020,689.0,690.85,672.35,674.35, 674.30,689.1,678.55,5469496,37113.34,85785, 1247668, 22.81
21-Jul-2020,676.1,682.1,660.0,662.3, 663.30,674.35,667.98,4314960,28823.27,65328, 1530393, 35.47
22-Jul-2020,666.15,677.8,657.5,661.7, 661.45,662.3,666.48,5918154,39443.33,79136, 978372, 16.53
23-Jul-2020,663.95,674.0,662.2,671.45, 672.55,661.7,670.04,4620517,30959.12,56977, 1213526, 26.26
24-Jul-2020,673.0,681.0,658.2,666.05,664.95,671.45,668.39,4962946,33171.87,78732, 1036892, 20.89
27-Jul-2020,673.95,673.95,650.4,652.9,651.7,666.05,656.24,4465120,29301.76,86167, 1321298, 29.59
28-Jul-2020,651.0,665.75,644.25,662.6,662.0,652.9,658.09,4583122,30161.26,70239, 1067193, 23.29
29-Jul-2020,662.6,685.55,662.6,681.25, 680.50,662.6,676.43,7288841,49303.91,80980, 1976886, 27.12
30-Jul-2020,681.2,698.95,681.0,685.95, 686.70,681.25,690.81,7171188,49539.63,114618, 1732064, 24.15
31-Jul-2020,687.0,724.0,687.0,720.15,721.0,685.95,711.57,18897332,134467.63,242751, 3278172, 17.35
03-Aug-2020,724.0,734.2,701.0,710.4,711.15,720.15,717.49,12500684,89691.39,199917, 1596316, 12.77
04-Aug-2020,708.0,718.9,703.2,713.85,714.8,710.4,711.25,6971075,49581.45,95036, 1779619, 25.53
05-Aug-2020,720.8,729.95,716.0,722.15,723.5,713.85,722.3,5263247,38016.25,96837, 905975, 17.21
06-Aug-2020,724.95,739.7,720.1,731.1,734.0,722.15,732.56,9663912,70794.12,125796, 1958478, 20.27
07-Aug-2020,738.0,739.65,724.5,728.65,732.8,731.1,731.13,6159882,45036.8,81746, 1079749, 17.53
10-Aug-2020,760.0,814.5,751.35,795.6, 797.70,728.65,790.73,56895564,449890.22,603361, 6055265, 10.64
11-Aug-2020,801.1,801.85,768.75,778.0,779.0,795.6,781.97,14861526,116212.93,176511, 2602061, 17.51
12-Aug-2020,778.0,778.0,755.6,762.1,762.0,778.0,762.24,7841606,59771.48,116026, 1554375, 19.82
13-Aug-2020,765.95,782.9,754.1,760.25, 761.00,762.1,767.95,13741283,105525.69,161067, 1384970, 10.08
14-Aug-2020,762.0,787.75,752.55,771.8, 773.60,760.25,774.47,16276397,126055.68,214750, 2007138, 12.33
17-Aug-2020,779.0,781.0,765.5,771.65, 771.75,771.8,772.13,6145819,47453.83,92178, 826553, 13.45
18-Aug-2020,772.0,779.65,763.0,764.85,765.5,771.65,769.02,5520727,42455.52,98727, 1171632, 21.22
19-Aug-2020,770.0,772.7,756.65,758.35,760.0,764.85,763.34,6296081,48060.78,79079, 1424002, 22.62
20-Aug-2020,758.35,771.75,758.35,762.7,763.25,758.35,764.38,8167571,62431.29,113634, 970431, 11.88
21-Aug-2020,768.85,770.6,759.05,760.75, 761.30,762.7,764.69,4700989,35947.99,68422, 1053835, 22.42
24-Aug-2020,763.0,767.0,750.25,751.75,753.7,760.75,755.13,4942354,37321.38,78125, 1088049, 22.01
25-Aug-2020,756.25,758.0,745.25,747.75, 749.00,751.75,750.0,3424068,25680.63,53107, 739122, 21.59
26-Aug-2020,751.5,754.0,744.2,748.0, 749.00,747.75,748.95,3730761,27941.48,56995, 1275392, 34.19
27-Aug-2020,750.8,764.0,749.95,756.2,759.75,748.0,757.26,6989244,52926.58,98142, 1534458, 21.95
28-Aug-2020,763.0,771.0,746.7,748.6, 749.40,756.2,758.22,8206125,62220.46,119812, 1412029, 17.21
31-Aug-2020,752.0,755.7,705.2,713.55, 708.25,748.6,728.82,7649142,55748.65,112472, 2387801, 31.22
01-Sep-2020,713.55,741.0,710.0,736.55, 740.15,713.55,725.18,6260042,45396.61,87572, 1087279, 17.37
02-Sep-2020,739.95,748.5,729.2,738.25, 742.70,736.55,738.87,5583378,41253.68,105830, 1206969, 21.62
03-Sep-2020,742.7,745.95,735.0,738.6, 738.75,738.25,739.38,3560610,26326.48,51176, 1113329, 31.27
04-Sep-2020,733.75,750.0,717.1,724.6,725.45,738.6,738.29,7473320,55174.84,106206, 965770, 12.92
07-Sep-2020,728.0,733.8,707.0,716.75, 718.00,724.6,715.29,4688730,33537.9,66979, 786212, 16.77
08-Sep-2020,716.75,726.45,704.4,708.2, 709.15,716.75,715.31,4818231,34465.43,75046, 781071, 16.21
09-Sep-2020,709.15,734.95,705.2,727.55, 727.50,708.2,720.46,9082720,65437.2,108754, 1008506, 11.10
10-Sep-2020,729.0,735.9,719.25,726.8, 726.30,727.55,726.59,4571167,33213.53,84921, 925269, 20.24
11-Sep-2020,725.8,731.5,720.25,725.95, 724.90,726.8,724.73,2465472,17868.01,40848, 535333, 21.71
14-Sep-2020,729.0,730.25,717.75,721.6,720.6,725.95,722.96,3104687,22445.53,69513, 470100, 15.14
15-Sep-2020,723.0,754.0,722.65,742.45, 742.35,721.6,745.44,14548327,108448.6,180815, 1921268, 13.21
16-Sep-2020,743.95,756.5,732.0,752.6,753.2,742.45,742.95,6773204,50321.35,85508, 828681, 12.23
17-Sep-2020,751.0,762.0,746.7,751.5, 751.15,752.6,753.82,7105873,53565.29,104746, 1442896, 20.31
18-Sep-2020,780.0,819.3,776.15,806.25, 804.90,751.5,800.06,35527345,284240.54,449206, 6075942, 17.10
21-Sep-2020,806.25,811.95,762.0,768.1, 765.15,806.25,787.36,12576401,99021.85,164720, 1381537, 10.99
22-Sep-2020,777.05,787.95,755.15,777.65, 778.00,768.1,776.03,14483986,112400.39,197252, 2011735, 13.89
23-Sep-2020,783.95,784.0,761.8,767.4, 765.90,777.65,772.52,6236596,48178.78,88045, 930364, 14.92
24-Sep-2020,764.45,766.65,730.0,733.45, 738.00,767.4,748.17,7123765,53297.95,119048, 1309406, 18.38
25-Sep-2020,752.0,777.0,740.4,770.1, 771.00,733.45,760.55,13365213,101649.48,187738, 1083169, 8.10
28-Sep-2020,772.1,778.0,755.6,774.8,773.0,770.1,768.52,9291117,71403.72,137578,1161143,12.5
29-Sep-2020,777.6,786.0,759.05,762.35,760.45,774.8,768.75,6583112,50607.72,92404, 1057461, 16.06
30-Sep-2020,762.35,794.9,761.05,774.7,775.5,762.35,781.79,14333238,112055.92,200888, 1272092, 8.88
01-Oct-2020,779.8,781.0,765.75,773.0, 775.80,774.7,773.21,5852563,45252.51,74871, 422537, 7.22
05-Oct-2020,776.0,784.05,762.05,778.65, 781.95,773.0,772.87,6798053,52540.43,96798, 1574478, 23.16
06-Oct-2020,782.0,788.0,777.0,780.35,779.1,778.65,781.5,4789613,37430.92,74498, 665569, 13.90
07-Oct-2020,780.0,790.65,771.0,773.6,774.9,780.35,777.89,6086372,47345.05,89053, 812334, 13.35
08-Oct-2020,775.0,815.6,774.9,811.45,812.1,773.6,797.5,12019994,95859.82,167524, 1730327, 14.40
09-Oct-2020,813.0,825.0,800.35,803.15, 804.65,811.45,813.08,11673228,94913.07,162961, 1577558, 13.51
12-Oct-2020,805.0,819.75,800.15,813.65, 817.65,803.15,808.72,6612623,53477.4,92711, 1148460, 17.37
13-Oct-2020,810.0,829.05,778.5,787.15, 784.50,813.65,809.67,13964627,113067.94,166539, 1344985, 9.63
14-Oct-2020,788.8,794.55,766.8,781.5, 780.15,787.15,780.79,8675723,67738.83,111479, 1369178, 15.78
